xt eps
-0.089366 0.622211
1.982162 2.474425
-0.572041 -0.486408
0.440309 -0.243202
-0.214845 -1.072679
-0.734425 -0.263865
-0.901919 -0.654308
0.907961 1.018309
0.566272 0.335242
-0.576415 -0.096014
-0.082352 -0.840553
0.093272 -0.526653
-0.010884 0.783642
0.274494 -0.139264
-0.135602 -0.877758
-0.260568 -0.966192
-0.871610 -1.756241
-0.144502 0.439031
-0.387538 -1.613511
0.427177 0.342456
0.135531 -0.291669
-0.756290 -0.740602
-0.462547 -1.452945
-0.119211 0.561990
1.565220 2.035539
0.194560 0.837847
-0.640673 -1.651452
0.872873 0.512742
0.598486 0.239050
0.265268 -0.144861
-0.308124 0.193254
1.394121 1.681454
-1.632042 -2.206644
-0.801345 -0.575528
0.990356 2.305883
-0.908370 -0.860668
0.553914 0.145956
-0.640693 -1.497159
-0.153002 -0.866567
-0.170935 0.088086
0.138367 0.018080
0.370596 0.033077
-1.382225 -1.592464
-0.724437 -0.517625
1.322585 1.406274
-0.047853 0.766326
-0.482776 -0.160181
-0.167148 -0.968373
-0.031837 0.306201
-0.400135 -0.103298
0.653101 0.386994
-0.443044 -0.176956
0.188474 -0.481217
0.673142 0.784074
0.745452 0.648625
0.580691 0.478362
-0.971066 -1.159633
0.051541 -0.354923
0.207410 1.033395
0.206889 -0.248611
0.312979 0.893565
-1.097477 -1.169940
0.465359 -0.108956
-1.045307 -0.958560
0.582704 1.641510
0.988960 0.811441
1.033377 1.162310
-0.854967 -1.754061
0.963000 0.946688
-0.683929 -0.618058
0.349529 0.083197
0.173867 0.958224
-0.577227 -0.293603
-1.259244 -1.429437
-0.408583 -1.268159
-0.308481 0.154639
0.238225 0.975561
0.303734 -0.053227
-0.540456 -0.289216
0.154112 -0.391313
0.344921 -0.125697
0.566928 0.210854
0.495187 0.184673
-0.211939 0.130996
-0.103506 -0.933576
1.046862 1.035482
1.098298 1.378950
-1.225709 -1.177096
0.762780 0.850292
0.216377 -0.268900
-0.081265 0.520336
-0.735259 -0.679149
0.973415 0.970252
-0.183960 -0.980305
-0.355831 -1.227841
-1.002428 -1.222518
-0.677974 -0.276850
-1.691011 -2.111061
0.554316 1.901672
1.144176 1.301666
-0.378002 -0.239623
-0.381293 0.299543
0.778973 0.392405
0.221956 1.024630
-1.137829 -2.486864
0.717287 0.609163
-0.387536 -1.287916
0.739552 0.418929
-1.221874 -1.443974
-0.194004 0.405100
0.273182 -0.256876
-0.022064 0.723105
0.820395 0.751067
0.357492 1.049201
0.158408 0.938459
1.238570 1.235326
0.501167 0.559716
0.560368 0.069189
-0.121094 -0.722867
-0.267192 0.404346
0.211234 0.988247
0.568320 1.573781
-0.476631 -0.014516
0.170485 -0.368867
1.043372 1.166757
-0.547653 -0.387776
1.001595 1.090873
-1.074106 -0.881062
-2.379396 -2.999889
0.179420 1.139632
-0.667469 -0.459336
-0.429592 -1.522579
0.461803 0.094905
0.161640 -0.307788
0.238665 0.805694
-1.444938 -2.016985
0.400371 1.227752
0.244877 1.072289
0.424893 0.064889
0.386143 1.148786
0.656517 0.361300
0.894473 0.754846
-0.494655 -0.433533
-0.089758 0.757361
